batclustno,bowlclustno,0,1,2,3,4,6,out,balls
0,0,0.3712574850299401,0.41317365269461076,0.0658682634730539,0.011976047904191617,0.10778443113772455,0.029940119760479042,0.05389221556886228,167
0,1,0.3082191780821918,0.4486301369863014,0.09246575342465753,0.003424657534246575,0.10273972602739725,0.04452054794520548,0.023972602739726026,292
0,2,0.3544973544973545,0.3968253968253968,0.07936507936507936,0.010582010582010581,0.1164021164021164,0.042328042328042326,0.047619047619047616,189
0,3,0.3141891891891892,0.3885135135135135,0.08108108108108109,0.0,0.1554054054054054,0.060810810810810814,0.037162162162162164,296
0,4,0.30193905817174516,0.43490304709141275,0.07202216066481995,0.002770083102493075,0.14681440443213298,0.04155124653739612,0.04155124653739612,361
0,5,0.3404255319148936,0.44072948328267475,0.0547112462006079,0.0,0.11550151975683891,0.0486322188449848,0.05167173252279635,329
1,0,0.4035532994923858,0.3553299492385787,0.07868020304568528,0.005076142131979695,0.11421319796954314,0.04314720812182741,0.027918781725888325,394
1,1,0.3484848484848485,0.41125541125541126,0.05844155844155844,0.006493506493506494,0.11904761904761904,0.05627705627705628,0.04329004329004329,462
1,2,0.3342036553524804,0.42036553524804177,0.07571801566579635,0.0026109660574412533,0.10966057441253264,0.057441253263707574,0.06005221932114883,383
1,3,0.38971807628524047,0.3747927031509121,0.06799336650082918,0.0,0.11608623548922056,0.04975124378109453,0.03980099502487562,603
1,4,0.33292978208232443,0.4116222760290557,0.06174334140435835,0.0012106537530266344,0.12953995157384987,0.06053268765133172,0.04116222760290557,826
1,5,0.3577319587628866,0.40824742268041236,0.058762886597938144,0.0010309278350515464,0.11649484536082474,0.0577319587628866,0.041237113402061855,970
2,0,0.4154929577464789,0.34507042253521125,0.04929577464788732,0.0,0.1267605633802817,0.06338028169014084,0.07746478873239436,142
2,1,0.3640552995391705,0.4009216589861751,0.08294930875576037,0.004608294930875576,0.10138248847926268,0.04608294930875576,0.06451612903225806,217
2,2,0.5042735042735043,0.3333333333333333,0.05982905982905983,0.0,0.08547008547008547,0.017094017094017096,0.05982905982905983,117
2,3,0.39925373134328357,0.3694029850746269,0.05970149253731343,0.0,0.11940298507462686,0.05223880597014925,0.041044776119402986,268
2,4,0.4012539184952978,0.3949843260188088,0.05642633228840126,0.0,0.10344827586206896,0.0438871473354232,0.08150470219435736,319
2,5,0.35687732342007433,0.4163568773234201,0.06319702602230483,0.011152416356877323,0.09665427509293681,0.055762081784386616,0.03717472118959108,269
3,0,0.58,0.26,0.04,0.0,0.08,0.04,0.06,50
3,1,0.4583333333333333,0.2916666666666667,0.0625,0.0,0.14583333333333334,0.041666666666666664,0.125,48
3,2,0.5714285714285714,0.2619047619047619,0.047619047619047616,0.0,0.11904761904761904,0.0,0.16666666666666666,42
3,3,0.4117647058823529,0.38235294117647056,0.07352941176470588,0.0,0.1323529411764706,0.0,0.058823529411764705,68
3,4,0.546875,0.296875,0.0390625,0.0,0.109375,0.0078125,0.1171875,128
3,5,0.4935064935064935,0.35064935064935066,0.03896103896103896,0.0,0.07792207792207792,0.03896103896103896,0.09090909090909091,77
4,0,0.40476190476190477,0.37142857142857144,0.05238095238095238,0.0,0.12857142857142856,0.04285714285714286,0.09047619047619047,210
4,1,0.38545454545454544,0.4254545454545455,0.06545454545454546,0.007272727272727273,0.10181818181818182,0.014545454545454545,0.04727272727272727,275
4,2,0.3791208791208791,0.42857142857142855,0.07692307692307693,0.0,0.0989010989010989,0.016483516483516484,0.07142857142857142,182
4,3,0.3669724770642202,0.43119266055045874,0.0764525993883792,0.0061162079510703364,0.08256880733944955,0.03669724770642202,0.0764525993883792,327
4,4,0.42780748663101603,0.34581105169340465,0.06951871657754011,0.0035650623885918,0.10873440285204991,0.044563279857397504,0.0659536541889483,561
4,5,0.41898148148148145,0.3958333333333333,0.046296296296296294,0.0023148148148148147,0.09722222222222222,0.03935185185185185,0.05555555555555555,432
5,0,0.4222560975609756,0.3155487804878049,0.06707317073170732,0.003048780487804878,0.125,0.06707317073170732,0.057926829268292686,656
5,1,0.38808139534883723,0.373546511627907,0.05232558139534884,0.00436046511627907,0.12354651162790697,0.05813953488372093,0.04215116279069767,688
5,2,0.3453389830508475,0.4279661016949153,0.048728813559322036,0.0,0.1016949152542373,0.07627118644067797,0.0423728813559322,472
5,3,0.3918770581778266,0.3556531284302964,0.06256860592755215,0.0,0.13721185510428102,0.052689352360043906,0.05159165751920966,911
5,4,0.38910133843212236,0.38718929254302104,0.05162523900573614,0.0028680688336520078,0.121414913957935,0.04780114722753346,0.05640535372848948,1046
5,5,0.3741935483870968,0.3935483870967742,0.05714285714285714,0.0027649769585253456,0.10783410138248847,0.06451612903225806,0.0423963133640553,1085
